settlement-id	settlement-start-date	settlement-end-date	deposit-date	total-amount	currency	transaction-type	order-id	merchant-order-id	adjustment-id	shipment-id	marketplace-name	amount-type	amount-description	amount	fulfillment-id	posted-date	posted-date-time	order-item-code	merchant-order-item-id	merchant-adjustment-item-id	sku	quantity-purchased	promotion-id
13009930262	01.03.2020 12:43:45 UTC	15.03.2020 12:43:45 UTC	17.03.2020 12:43:45 UTC	186.71	GBP																		
13009930262						Order	204-6585524-3879516	204-6585524-3879516		M4Jhw96Bw	Amazon.co.uk	ItemPrice	Principal	16.66	AFN	05.03.2020	05.03.2020 22:08:42 UTC	62534865818387			mb016-a2141-coeudc1	1	
13009930262						Order	204-6585524-3879516	204-6585524-3879516		M4Jhw96Bw	Amazon.co.uk	ItemPrice	Tax	3.33	AFN	05.03.2020	05.03.2020 22:08:42 UTC	62534865818387			mb016-a2141-coeudc1	1	
13009930262						Order	204-6585524-3879516	204-6585524-3879516		M4Jhw96Bw	Amazon.co.uk	ItemFees	FBAPerUnitFulfillmentFee	-2.14	AFN	05.03.2020	05.03.2020 22:08:42 UTC	62534865818387			mb016-a2141-coeudc1	1	
13009930262						Order	204-6585524-3879516	204-6585524-3879516		M4Jhw96Bw	Amazon.co.uk	ItemFees	Commission	-2.40	AFN	05.03.2020	05.03.2020 22:08:42 UTC	62534865818387			mb016-a2141-coeudc1	1	
13009930262						Order	026-9212173-2288309	026-9212173-2288309		MhjytpDgy	Amazon.co.uk	ItemPrice	Principal	16.66	AFN	10.03.2020	10.03.2020 14:21:53 UTC	53231609799755			mb017-a2141-coeudc1	1	
13009930262						Order	026-9212173-2288309	026-9212173-2288309		MhjytpDgy	Amazon.co.uk	ItemPrice	Tax	3.33	AFN	10.03.2020	10.03.2020 14:21:53 UTC	53231609799755			mb017-a2141-coeudc1	1	
13009930262						Order	026-9212173-2288309	026-9212173-2288309		MhjytpDgy	Amazon.co.uk	ItemFees	FBAPerUnitFulfillmentFee	-2.14	AFN	10.03.2020	10.03.2020 14:21:53 UTC	53231609799755			mb017-a2141-coeudc1	1	
13009930262						Order	026-9212173-2288309	026-9212173-2288309		MhjytpDgy	Amazon.co.uk	ItemFees	Commission	-2.40	AFN	10.03.2020	10.03.2020 14:21:53 UTC	53231609799755			mb017-a2141-coeudc1	1	
13009930262						Order	206-2720573-1793911	206-2720573-1793911		MH4rz5chw	Amazon.co.uk	ItemPrice	Principal	16.66	AFN	05.03.2020	05.03.2020 22:10:53 UTC	37806379148395			mb017-a1706-coeudc1	1	
13009930262						Order	206-2720573-1793911	206-2720573-1793911		MH4rz5chw	Amazon.co.uk	ItemPrice	Tax	3.33	AFN	05.03.2020	05.03.2020 22:10:53 UTC	37806379148395			mb017-a1706-coeudc1	1	
13009930262						Order	206-2720573-1793911	206-2720573-1793911		MH4rz5chw	Amazon.co.uk	ItemFees	FBAPerUnitFulfillmentFee	-2.02	AFN	05.03.2020	05.03.2020 22:10:53 UTC	37806379148395			mb017-a1706-coeudc1	1	
13009930262						Order	206-2720573-1793911	206-2720573-1793911		MH4rz5chw	Amazon.co.uk	ItemFees	Commission	-2.40	AFN	05.03.2020	05.03.2020 22:10:53 UTC	37806379148395			mb017-a1706-coeudc1	1	
13009930262						Order	204-2743865-8879565	204-2743865-8879565		DC6fkH6LF	Amazon.co.uk	ItemPrice	Principal	16.66	AFN	07.03.2020	07.03.2020 13:54:18 UTC	62325812469971			mb109-a1706-coeudc1	1	
13009930262						Order	204-2743865-8879565	204-2743865-8879565		DC6fkH6LF	Amazon.co.uk	ItemPrice	Tax	3.33	AFN	07.03.2020	07.03.2020 13:54:18 UTC	62325812469971			mb109-a1706-coeudc1	1	
13009930262						Order	204-2743865-8879565	204-2743865-8879565		DC6fkH6LF	Amazon.co.uk	ItemFees	FBAPerUnitFulfillmentFee	-2.14	AFN	07.03.2020	07.03.2020 13:54:18 UTC	62325812469971			mb109-a1706-coeudc1	1	
13009930262						Order	204-2743865-8879565	204-2743865-8879565		DC6fkH6LF	Amazon.co.uk	ItemFees	Commission	-2.40	AFN	07.03.2020	07.03.2020 13:54:18 UTC	62325812469971			mb109-a1706-coeudc1	1	
13009930262						Order	206-3205487-2509937	206-3205487-2509937		DCywVVkxL	Amazon.co.uk	ItemPrice	Principal	41.66	AFN	10.03.2020	10.03.2020 02:25:44 UTC	19708941879235			Rofee Kitchen	1	
13009930262						Order	206-3205487-2509937	206-3205487-2509937		DCywVVkxL	Amazon.co.uk	ItemPrice	Tax	8.33	AFN	10.03.2020	10.03.2020 02:25:44 UTC	19708941879235			Rofee Kitchen	1	
13009930262						Order	206-3205487-2509937	206-3205487-2509937		DCywVVkxL	Amazon.co.uk	ItemFees	FBAPerUnitFulfillmentFee	-5.05	AFN	10.03.2020	10.03.2020 02:25:44 UTC	19708941879235			Rofee Kitchen	1	
13009930262						Order	206-3205487-2509937	206-3205487-2509937		DCywVVkxL	Amazon.co.uk	ItemFees	Commission	-6.00	AFN	10.03.2020	10.03.2020 02:25:44 UTC	19708941879235			Rofee Kitchen	1	
13009930262						Order	205-1852001-1665929	205-1852001-1665929		Mf3xlH7fw	Amazon.co.uk	ItemPrice	Principal	14.99	AFN	02.03.2020	02.03.2020 00:20:12 UTC	65563379595979			mb015-a1932-coeudc1	1	
13009930262						Order	205-1852001-1665929	205-1852001-1665929		Mf3xlH7fw	Amazon.co.uk	ItemPrice	Tax	3.00	AFN	02.03.2020	02.03.2020 00:20:12 UTC	65563379595979			mb015-a1932-coeudc1	1	
